code,time_key,open,close,high,low,pe_ratio,turnover_rate,volume,turnover,change_rate,last_close
HK.09626,2021-03-29 00:00:00,790.0,800.0,800.0,753.0,0.0,0.00871,3285624,2576424448.0,-0.9900990099009901,808.0
HK.09626,2021-03-30 00:00:00,803.5,800.0,803.5,790.0,0.0,0.00227,865031,691696884.0,0.0,800.0
HK.09626,2021-03-31 00:00:00,811.5,828.0,829.5,811.0,0.0,0.00209,796250,655737700.0,3.5000000000000004,800.0
HK.09626,2021-04-01 00:00:00,838.0,870.0,879.0,838.0,0.0,0.00446,1697979,1467664503.0,5.072463768115942,828.0
HK.09626,2021-04-07 00:00:00,880.0,874.0,888.0,871.5,0.0,0.00129,490748,430145724.0,0.45977011494252873,870.0
HK.09626,2021-04-08 00:00:00,830.5,855.0,867.5,830.0,0.0,0.00223,849315,720603965.0,-2.1739130434782608,874.0
HK.09626,2021-04-09 00:00:00,869.0,850.0,869.0,842.0,0.0,0.00139,528940,449242170.0,-0.5847953216374269,855.0
HK.09626,2021-04-12 00:00:00,827.5,812.0,830.0,811.0,0.0,0.00133,507415,416853060.0,-4.470588235294118,850.0
HK.09626,2021-04-13 00:00:00,808.0,809.0,811.0,803.0,0.0,0.00143,543727,439392953.0,-0.3694581280788177,812.0
HK.09626,2021-04-14 00:00:00,818.0,816.5,821.5,803.0,0.0,0.00128,485440,395973380.0,0.9270704573547589,809.0
HK.09626,2021-04-15 00:00:00,808.0,801.0,808.0,799.5,0.0,0.00101,385508,308954712.0,-1.8983466013472137,816.5
HK.09626,2021-04-16 00:00:00,800.5,809.0,817.5,799.0,0.0,0.00065,245722,198842598.0,0.9987515605493134,801.0
HK.09626,2021-04-19 00:00:00,806.0,809.5,814.5,800.0,0.0,0.00087,329434,266438524.0,0.061804697156983925,809.0
HK.09626,2021-04-20 00:00:00,817.0,814.0,817.0,808.0,0.0,0.00074,282608,229346853.0,0.5558987029030266,809.5
HK.09626,2021-04-21 00:00:00,783.5,790.0,790.0,778.0,0.0,0.00157,598347,469072740.0,-2.9484029484029484,814.0
HK.09626,2021-04-22 00:00:00,802.0,810.0,812.0,802.0,0.0,0.00077,291420,234827590.0,2.5316455696202533,790.0
HK.09626,2021-04-23 00:00:00,831.5,860.0,867.0,831.5,0.0,0.00184,702135,595694843.0,6.172839506172839,810.0
HK.09626,2021-04-26 00:00:00,900.0,905.0,916.0,894.5,0.0,0.00226,867376,786082151.0,5.232558139534884,860.0
HK.09626,2021-04-27 00:00:00,917.5,932.0,940.0,912.0,0.0,0.00181,695248,641781404.0,2.983425414364641,905.0
HK.09626,2021-04-28 00:00:00,940.0,943.0,976.5,932.0,0.0,0.00186,713493,682599837.0,1.1802575107296138,932.0
HK.09626,2021-04-29 00:00:00,947.0,941.5,949.0,917.0,0.0,0.00079,303240,284246557.0,-0.15906680805938495,943.0
HK.09626,2021-04-30 00:00:00,895.0,891.0,895.0,884.0,0.0,0.00162,624083,555702174.0,-5.363781200212427,941.5
